death_rate,doctor_rate,hospital_rate,per_cap_income,pop_density,num_car_rate
64.89999962,78,284,9.100000381,109,28
70.30000019,68,433,8.699999809,144,29
60.80000019,70,739,7.199999809,113,27
72.5,25,250,2.5,34,23
76.69999981,74,477,8.300000191,206,21
63.10000038,111,362,10.89999962,124,25
67,77,671,10,152,29
56.89999962,168,636,9.100000381,162,20
70.30000019,82,329,8.699999809,150,26
64.4000001,89,634,7.599999905,134,22
70.19999981,149,631,10.80000019,292,26
65.5,60,257,9.5,108,25
66.19999981,96,284,8.800000191,111,28
70.5,83,603,9.5,182,22
60.30000019,130,686,8.699999809,129,24
60.80000019,145,345,11.19999981,158,21
55.30000019,112,1357,9.699999809,186,25
60.39999962,131,544,9.600000381,177,27
68.89999962,80,205,9.100000381,127,29
58.80000019,130,1264,9.199999809,179,28
54.69999981,140,688,8.300000191,80,28
55.60000038,154,354,8.399999619,103,22
44.60000038,118,1632,9.399999619,101,26
65.19999981,94,348,9.800000191,117,22
57.60000038,119,370,10.39999962,88,24
50.10000038,153,648,9.899999619,78,27
61.80000019,116,366,9.199999809,102,24
57.69999981,97,540,10.30000019,95,21
48.10000038,176,680,8.899999619,80,28
62.39999962,75,345,9.600000381,92,21
58.69999981,134,525,10.30000019,126,26
47.60000038,161,870,10.39999962,108,29
54.30000019,111,669,9.699999809,77,26
54.39999962,114,452,9.600000381,60,27
49.30000019,142,430,10.69999981,71,21
42.69999981,238,822,10.30000019,86,28
62.30000019,78,190,10.69999981,93,25
47.39999962,196,867,9.600000381,106,29
58.5,125,969,10.5,162,27
60.30000019,82,499,7.699999809,95,20
52.80000019,125,925,10.19999981,91,29
53.10000038,129,353,9.899999619,52,28
68.60000038,84,288,8.399999619,110,21
43.60000038,183,718,10.39999962,69,30
55.80000019,119,540,9.199999809,57,24
48,180,668,13,106,27
60.19999981,82,347,8.800000191,40,25
61.80000019,71,345,9.199999809,50,25
55.19999981,118,463,7.800000191,35,27
52.80000019,121,728,8.199999809,86,30
62.59999991,68,383,7.400000095,57,23
54.60000038,112,316,10.39999962,57,22
63.10000038,109,388,8.899999619,94,22
