seq1	seq2
8	13.22407348
5.823167011	13.26224077
7	16.31528142
8.322784781	13.77404814
3.221772573	10.72471685
5.656177437	13.1428237
7	14.26734072
2.406254722	7.637110343
0	3.721508784
1.223421755	8.306242478
5.207844587	15.54117727
2	7.336303475
6.385564701	14.70007166
4.167787761	12.4714841
8.807525565	13.07256462
10	14
1.78767105	10.25611782
7.732377002	15.60773108
7.207401168	15.48776682
6.507557605	14.1754742
5	12.38404677
6.58627472	15.44773742
3.578744842	10.54727256
7.76818017	14.5777045
3	10.68173658
6	13.36880867
1	7.378237552
4	11.78030127
7.845717307	14.1
7.48730417	15.22105405
